Source,Destination,Relationship
ASN1267,ASN59940,0
ASN1267,ASN60157,0
ASN1267,ASN60171,0
ASN1267,ASN60280,0
ASN1267,ASN60294,0
ASN1267,ASN60404,0
ASN1267,ASN60595,0
ASN1267,ASN60610,0
ASN1267,ASN60772,0
ASN1267,ASN60798,0
ASN1267,ASN60822,0
ASN1267,ASN60868,0
ASN1267,ASN61026,0
ASN1267,ASN61049,0
ASN1267,ASN61081,0
ASN1267,ASN61124,0
ASN1267,ASN61180,0
ASN1267,ASN61215,0
ASN1267,ASN61231,0
ASN1267,ASN61244,0
ASN1267,ASN61266,0
ASN1267,ASN61337,0
ASN1267,ASN61394,0
ASN1267,ASN61955,0
ASN1267,ASN62023,0
ASN1267,ASN62041,0
ASN1267,ASN62044,0
ASN1267,ASN62141,0
ASN1267,ASN62217,0
ASN1267,ASN62244,0
ASN1267,ASN62267,0
ASN1267,ASN62325,0
ASN1267,ASN62336,0
ASN1267,ASN62586,0
ASN1267,ASN62713,0
ASN1267,ASN62715,0
ASN1267,ASN63199,0
ASN1267,ASN63399,0
ASN1267,ASN64049,0
ASN1267,ASN132016,0
ASN1267,ASN132591,0
ASN1267,ASN132876,0
ASN1267,ASN133229,0
ASN1267,ASN134145,0
ASN1267,ASN134390,0
ASN1267,ASN196640,0
ASN1267,ASN196752,0
ASN1267,ASN196844,0
ASN1267,ASN196922,0
ASN1267,ASN197036,0
ASN1267,ASN197071,0
ASN1267,ASN197114,0
ASN1267,ASN197264,0
ASN1267,ASN197337,0
ASN1267,ASN197426,0
ASN1267,ASN197440,0
ASN1267,ASN197540,0
ASN1267,ASN197541,0
ASN1267,ASN197595,0
ASN1267,ASN197653,0
ASN1267,ASN197669,0
ASN1267,ASN197685,0
ASN1267,ASN197744,0
ASN1267,ASN197981,0
ASN1267,ASN197985,0
ASN1267,ASN198018,0
ASN1267,ASN198047,0
ASN1267,ASN198126,0
ASN1267,ASN198313,0
ASN1267,ASN198330,0
ASN1267,ASN198335,0
ASN1267,ASN198435,0
ASN1267,ASN198554,0
ASN1267,ASN198719,0
ASN1267,ASN198721,0
ASN1267,ASN198726,0
ASN1267,ASN198736,0
ASN1267,ASN198781,0
ASN1267,ASN198792,0
ASN1267,ASN198831,0
ASN1267,ASN198930,0
ASN1267,ASN199125,0
ASN1267,ASN199204,0
ASN1267,ASN199335,0
ASN1267,ASN199422,0
ASN1267,ASN199487,0
ASN1267,ASN199547,0
ASN1267,ASN199565,0
ASN1267,ASN199568,0
ASN1267,ASN199659,0
ASN1267,ASN199660,0
ASN1267,ASN199790,0
ASN1267,ASN199813,0
ASN1267,ASN199837,0
ASN1267,ASN199841,0
ASN1267,ASN199903,0
ASN1267,ASN199939,0
ASN1267,ASN200020,0
ASN1267,ASN200023,0
ASN1267,ASN200124,0
ASN1267,ASN200130,0
ASN1267,ASN200700,0
ASN1267,ASN201053,0
ASN1267,ASN201229,0
ASN1267,ASN201518,0
ASN1267,ASN201877,0
ASN1267,ASN202018,0
ASN1267,ASN202032,0
ASN1267,ASN202109,0
ASN1267,ASN202112,0
ASN1267,ASN202119,0
ASN1267,ASN202178,0
ASN1267,ASN203507,0
ASN1267,ASN203724,0
ASN1267,ASN203923,0
ASN1267,ASN203959,0
ASN1267,ASN204264,0
ASN1267,ASN327825,0
ASN1273,ASN1668,0
ASN1273,ASN2497,0
ASN1273,ASN2516,0
ASN1273,ASN2686,0
ASN1273,ASN2906,0
ASN1273,ASN2914,0
ASN1273,ASN3257,0
ASN1273,ASN3292,0
ASN1273,ASN3303,0
ASN1273,ASN3320,0
ASN1273,ASN3549,0
ASN1273,ASN3561,0
ASN1273,ASN4134,0
ASN1273,ASN4181,0
ASN1273,ASN4637,0
ASN1273,ASN4739,0
ASN1273,ASN4766,0
ASN1273,ASN4837,0
ASN1273,ASN5400,0
ASN1273,ASN5413,0
ASN1273,ASN5511,0
ASN1273,ASN5580,0
ASN1273,ASN5769,0
ASN1273,ASN6079,0
ASN1273,ASN6128,0
ASN1273,ASN6327,0
ASN1273,ASN6407,0
ASN1273,ASN6453,0
ASN1273,ASN6461,0
ASN1273,ASN6762,0
ASN1273,ASN6830,0
ASN1273,ASN6939,0
ASN1273,ASN7342,0
ASN1273,ASN7473,0
ASN1273,ASN7575,0
ASN1273,ASN7843,0
ASN1273,ASN7922,0
ASN1273,ASN8001,0
ASN1273,ASN8002,0
ASN1273,ASN8075,0
ASN1273,ASN8218,0
ASN1273,ASN8220,0
ASN1273,ASN8283,0
ASN1273,ASN8473,0
ASN1273,ASN8903,0
ASN1273,ASN8928,0
ASN1273,ASN9002,0
ASN1273,ASN9505,0
ASN1273,ASN10026,0
ASN1273,ASN10310,0
ASN1273,ASN11403,0
ASN1273,ASN11911,0
ASN1273,ASN12124,0
ASN1273,ASN12956,0
ASN1273,ASN12989,0
ASN1273,ASN13684,0
ASN1273,ASN14492,0
ASN1273,ASN14907,0
ASN1273,ASN15133,0
ASN1273,ASN15149,0
ASN1273,ASN15412,0
ASN1273,ASN16509,0
ASN1273,ASN18816,0
ASN1273,ASN19151,0
ASN1273,ASN19318,0
ASN1273,ASN20485,0
ASN1273,ASN21949,0
ASN1273,ASN22773,0
ASN1273,ASN22822,0
ASN1273,ASN23148,0
ASN1273,ASN24507,0
ASN1273,ASN26282,0
ASN1273,ASN27257,0
ASN1273,ASN30132,0
ASN1273,ASN30781,0
ASN1273,ASN31459,0
ASN1273,ASN32787,0
ASN1273,ASN32934,0
ASN1273,ASN35788,0
ASN1273,ASN36351,0
ASN1273,ASN41095,0
ASN1273,ASN44444,0
ASN1273,ASN54219,0
ASN1273,ASN55497,0
ASN1273,ASN55562,0
ASN1299,ASN3257,0
ASN1547,ASN12637,0
ASN1680,ASN12637,0
ASN1764,ASN12637,0
ASN1835,ASN3257,0
ASN2484,ASN12637,0
ASN2497,ASN3257,0
ASN2516,ASN3257,0
ASN2597,ASN12637,0
ASN2611,ASN12637,0
ASN2635,ASN12637,0
ASN2686,ASN3257,0
ASN2828,ASN3257,0
ASN2852,ASN3257,0
ASN2852,ASN12637,0
ASN2854,ASN12637,0
ASN2906,ASN12637,0
ASN2914,ASN3257,0
ASN3225,ASN12637,0
ASN3252,ASN12637,0
ASN3257,ASN3292,0
ASN3257,ASN3303,0
ASN3257,ASN3320,0
ASN3257,ASN3356,0
ASN3257,ASN3491,0
ASN3257,ASN3549,0
ASN3257,ASN3561,0
ASN3257,ASN4134,0
ASN3257,ASN4323,0
ASN3257,ASN4637,0
ASN3257,ASN4739,0
ASN3257,ASN4766,0
ASN3257,ASN4837,0
ASN3257,ASN4844,0
ASN3257,ASN5400,0
ASN3257,ASN5459,0
ASN3257,ASN5511,0
ASN3257,ASN6079,0
ASN3257,ASN6453,0
ASN3257,ASN6461,0
ASN3257,ASN6762,0
ASN3257,ASN6830,0
ASN3257,ASN6939,0
ASN3257,ASN7018,0
ASN3257,ASN7342,0
ASN3257,ASN7922,0
ASN3257,ASN8220,0
ASN3257,ASN12284,0
ASN3257,ASN12956,0
ASN3257,ASN13030,0
ASN3257,ASN15169,0
ASN3257,ASN15685,0
ASN3257,ASN17547,0
ASN3257,ASN17676,0
ASN3257,ASN20485,0
ASN3257,ASN25152,0
ASN3257,ASN30132,0
ASN3257,ASN31263,0
ASN3257,ASN36351,0
ASN3257,ASN38861,0
ASN3257,ASN41095,0
ASN3257,ASN43531,0
ASN3262,ASN12637,0
ASN3267,ASN12637,0
ASN3269,ASN12637,0
ASN3302,ASN12637,0
ASN3327,ASN12637,0
ASN3333,ASN12637,0
ASN3856,ASN12637,0
ASN4589,ASN12637,0
ASN4637,ASN12637,0
ASN4651,ASN12637,0
ASN4761,ASN12637,0
ASN5390,ASN12637,0
ASN5392,ASN12637,0
ASN5394,ASN12637,0
ASN5396,ASN12637,0
ASN5397,ASN12637,0
ASN5410,ASN12637,0
ASN5413,ASN12637,0
ASN5466,ASN12637,0
ASN5524,ASN12637,0
ASN5563,ASN12637,0
ASN5568,ASN12637,0
ASN5583,ASN12637,0
ASN5588,ASN12637,0
ASN5602,ASN12637,0
ASN5713,ASN12637,0
ASN6507,ASN12637,0
ASN6661,ASN12637,0
ASN6663,ASN12637,0
ASN6677,ASN12637,0
ASN6717,ASN12637,0
ASN6724,ASN12637,0
ASN6730,ASN12637,0
ASN6734,ASN12637,0
ASN6735,ASN12637,0
ASN6777,ASN12637,0
ASN6834,ASN12637,0
ASN6853,ASN12637,0
ASN6866,ASN12637,0
ASN6898,ASN12637,0
ASN6939,ASN12637,0
ASN7160,ASN12637,0
ASN7342,ASN12637,0
ASN7713,ASN12637,0
ASN8075,ASN12637,0
ASN8218,ASN12637,0
ASN8220,ASN12637,0
ASN8224,ASN12637,0
ASN8234,ASN12637,0
ASN8251,ASN12637,0
ASN8262,ASN12637,0
ASN8265,ASN12637,0
ASN8282,ASN12637,0
ASN8304,ASN12637,0
ASN8309,ASN12637,0
ASN8315,ASN12637,0
ASN8365,ASN12637,0
ASN8368,ASN12637,0
ASN8400,ASN12637,0
ASN8422,ASN12637,0
ASN8426,ASN12637,0
ASN8462,ASN12637,0
ASN8468,ASN12637,0
ASN8473,ASN12637,0
ASN8487,ASN12637,0
ASN8492,ASN12637,0
ASN8529,ASN12637,0
ASN8551,ASN12637,0
ASN8560,ASN12637,0
ASN8587,ASN12637,0
ASN8608,ASN12637,0
ASN8612,ASN12637,0
ASN8613,ASN12637,0
ASN8632,ASN12637,0
ASN8648,ASN12637,0
ASN8660,ASN12637,0
ASN8717,ASN12637,0
ASN8732,ASN12637,0
ASN8763,ASN12637,0
ASN8764,ASN12637,0
ASN8767,ASN12637,0
ASN8816,ASN12637,0
ASN8839,ASN12637,0
ASN8866,ASN12637,0
ASN8881,ASN12637,0
ASN8922,ASN12637,0
ASN8926,ASN12637,0
ASN8932,ASN12637,0
ASN8966,ASN12637,0
ASN8968,ASN12637,0
ASN8978,ASN12637,0
ASN9002,ASN12637,0
ASN9009,ASN12637,0
ASN9026,ASN12637,0
ASN9029,ASN12637,0
ASN9036,ASN12637,0
ASN9050,ASN12637,0
ASN9104,ASN12637,0
ASN9115,ASN12637,0
ASN9137,ASN12637,0
ASN9145,ASN12637,0
ASN9150,ASN12637,0
ASN9304,ASN12637,0
ASN9318,ASN12637,0
ASN9329,ASN12637,0
ASN9498,ASN12637,0
ASN9583,ASN12637,0
ASN10026,ASN12637,0
ASN10310,ASN12637,0
ASN12041,ASN12637,0
ASN12189,ASN12637,0
ASN12301,ASN12637,0
ASN12306,ASN12637,0
ASN12315,ASN12637,0
ASN12329,ASN12637,0
ASN12355,ASN12637,0
ASN12414,ASN12637,0
ASN12496,ASN12637,0
ASN12552,ASN12637,0
ASN12578,ASN12637,0
ASN12637,ASN12650,0
ASN12637,ASN12713,0
ASN12637,ASN12714,0
ASN12637,ASN12731,0
ASN12637,ASN12732,0
ASN12637,ASN12759,0
ASN12637,ASN12779,0
ASN12637,ASN12835,0
ASN12637,ASN12849,0
ASN12637,ASN12850,0
ASN12637,ASN12859,0
ASN12637,ASN12871,0
ASN12637,ASN12874,0
ASN12637,ASN12876,0
ASN12637,ASN12883,0
ASN12637,ASN12902,0
ASN12637,ASN12989,0
ASN12637,ASN12993,0
ASN12637,ASN13002,0
ASN12637,ASN13004,0
ASN12637,ASN13030,0
ASN12637,ASN13097,0
ASN12637,ASN13101,0
ASN12637,ASN13122,0
ASN12637,ASN13193,0
ASN12637,ASN13213,0
ASN12637,ASN13237,0
ASN12637,ASN13238,0
ASN12637,ASN13285,0
ASN12637,ASN13335,0
ASN12637,ASN13414,0
ASN12637,ASN13445,0
ASN12637,ASN14537,0
ASN12637,ASN15133,0
ASN12637,ASN15169,0
ASN12637,ASN15399,0
ASN12637,ASN15426,0
ASN12637,ASN15433,0
ASN12637,ASN15435,0
ASN12637,ASN15447,0
ASN12637,ASN15516,0
ASN12637,ASN15542,0
ASN12637,ASN15547,0
ASN12637,ASN15589,0
ASN12637,ASN15605,0
ASN12637,ASN15691,0
ASN12637,ASN15703,0
ASN12637,ASN15704,0
ASN12637,ASN15720,0
ASN12637,ASN15763,0
ASN12637,ASN15772,0
ASN12637,ASN15802,0
ASN12637,ASN15830,0
ASN12637,ASN15879,0
ASN12637,ASN15958,0
ASN12637,ASN15966,0
ASN12637,ASN16004,0
ASN12637,ASN16080,0
ASN12637,ASN16097,0
ASN12637,ASN16211,0
ASN12637,ASN16243,0
ASN12637,ASN16265,0
ASN12637,ASN16276,0
ASN12637,ASN16347,0
ASN12637,ASN16509,0
ASN12637,ASN16637,0
ASN12637,ASN16839,0
ASN12637,ASN17451,0
ASN12637,ASN17557,0
ASN12637,ASN18106,0
ASN12637,ASN18403,0
ASN12637,ASN18705,0
ASN12637,ASN19551,0
ASN12637,ASN20080,0
ASN12637,ASN20485,0
ASN12637,ASN20495,0
ASN12637,ASN20504,0
ASN12637,ASN20559,0
ASN12637,ASN20562,0
ASN12637,ASN20621,0
ASN12637,ASN20634,0
ASN12637,ASN20764,0
ASN12637,ASN20766,0
ASN12637,ASN20804,0
ASN12637,ASN20811,0
ASN12637,ASN20836,0
ASN12637,ASN20847,0
ASN12637,ASN20857,0
ASN12637,ASN20886,0
ASN12637,ASN20912,0
ASN12637,ASN20924,0
ASN12637,ASN20932,0
ASN12637,ASN20940,0
ASN12637,ASN20953,0
ASN12637,ASN20969,0
ASN12637,ASN21011,0
ASN12637,ASN21056,0
ASN12637,ASN21176,0
ASN12637,ASN21219,0
ASN12637,ASN21221,0
ASN12637,ASN21263,0
ASN12637,ASN21309,0
ASN12637,ASN21339,0
ASN12637,ASN21345,0
ASN12637,ASN21478,0
ASN12637,ASN22363,0
ASN12637,ASN23148,0
ASN12637,ASN23393,0
ASN12637,ASN23576,0
ASN12637,ASN23947,0
ASN12637,ASN24167,0
ASN12637,ASN24482,0
ASN12637,ASN24586,0
ASN12637,ASN24608,0
ASN12637,ASN24637,0
ASN12637,ASN24642,0
ASN12637,ASN24724,0
ASN12637,ASN24730,0
ASN12637,ASN24796,0
ASN12637,ASN24875,0
ASN12637,ASN24880,0
ASN12637,ASN24904,0
ASN12637,ASN24940,0
ASN12637,ASN24961,0
ASN12637,ASN24994,0
ASN12637,ASN25074,0
ASN12637,ASN25091,0
ASN12637,ASN25151,0
ASN12637,ASN25152,0
ASN12637,ASN25182,0
ASN12637,ASN25220,0
ASN12637,ASN25291,0
ASN12637,ASN25542,0
ASN12637,ASN25596,0
ASN12637,ASN26415,0
ASN12637,ASN26496,0
ASN12637,ASN26667,0
ASN12637,ASN27313,0
ASN12637,ASN28283,0
ASN12637,ASN28685,0
ASN12637,ASN28716,0
ASN12637,ASN28788,0
ASN12637,ASN28801,0
ASN12637,ASN28836,0
ASN12637,ASN28876,0
ASN12637,ASN28917,0
ASN12637,ASN28929,0
ASN12637,ASN28941,0
ASN12637,ASN28999,0
ASN12637,ASN29014,0
ASN12637,ASN29017,0
ASN12637,ASN29073,0
ASN12637,ASN29075,0
ASN12637,ASN29119,0
ASN12637,ASN29140,0
ASN12637,ASN29141,0
ASN12637,ASN29169,0
ASN12637,ASN29208,0
ASN12637,ASN29263,0
ASN12637,ASN29278,0
ASN12637,ASN29314,0
ASN12637,ASN29396,0
ASN12637,ASN29405,0
ASN12637,ASN29419,0
ASN12637,ASN29449,0
ASN12637,ASN29462,0
ASN12637,ASN29587,0
ASN12637,ASN29697,0
ASN12637,ASN29791,0
ASN12637,ASN30094,0
ASN12637,ASN30132,0
ASN12637,ASN30419,0
ASN12637,ASN30740,0
ASN12637,ASN30818,0
ASN12637,ASN30844,0
ASN12637,ASN30848,0
ASN12637,ASN30889,0
ASN12637,ASN30925,0
ASN12637,ASN30961,0
ASN12637,ASN31019,0
ASN12637,ASN31027,0
ASN12637,ASN31034,0
ASN12637,ASN31042,0
ASN12637,ASN31078,0
ASN12637,ASN31115,0
ASN12637,ASN31122,0
ASN12637,ASN31133,0
ASN12637,ASN31216,0
ASN12637,ASN31222,0
ASN12637,ASN31287,0
ASN12637,ASN31319,0
ASN12637,ASN31383,0
ASN12637,ASN31424,0
ASN12637,ASN31449,0
ASN12637,ASN31477,0
ASN12637,ASN31499,0
ASN12637,ASN31500,0
ASN12637,ASN31529,0
ASN12637,ASN31595,0
ASN12637,ASN31611,0
ASN12637,ASN31638,0
ASN12637,ASN31673,0
ASN12637,ASN32338,0
ASN12637,ASN32590,0
ASN12637,ASN32934,0
ASN12637,ASN33796,0
ASN12637,ASN33873,0
ASN12637,ASN33915,0
ASN12637,ASN33986,0
ASN12637,ASN34019,0
ASN12637,ASN34106,0
ASN12637,ASN34141,0
ASN12637,ASN34177,0
ASN12637,ASN34224,0
ASN12637,ASN34288,0
ASN12637,ASN34305,0
ASN12637,ASN34419,0
ASN12637,ASN34442,0
ASN12637,ASN34569,0
ASN12637,ASN34655,0
ASN12637,ASN34695,0
ASN12637,ASN34756,0
ASN12637,ASN34758,0
ASN12637,ASN34762,0
ASN12637,ASN34781,0
ASN12637,ASN34863,0
ASN12637,ASN34868,0
ASN12637,ASN34968,0
ASN12637,ASN35156,0
ASN12637,ASN35193,0
ASN12637,ASN35320,0
ASN12637,ASN35366,0
ASN12637,ASN35574,0
ASN12637,ASN35592,0
ASN12637,ASN35612,0
ASN12637,ASN35662,0
ASN12637,ASN35699,0
ASN12637,ASN35745,0
ASN12637,ASN36040,0
ASN12637,ASN36089,0
ASN12637,ASN36236,0
ASN12637,ASN36351,0
ASN12637,ASN36408,0
ASN12637,ASN36944,0
ASN12637,ASN37100,0
ASN12637,ASN37187,0
ASN12637,ASN37282,0
ASN12637,ASN37662,0
ASN12637,ASN38082,0
ASN12637,ASN38880,0
ASN12637,ASN38915,0
ASN12637,ASN39063,0
ASN12637,ASN39120,0
ASN12637,ASN39122,0
ASN12637,ASN39180,0
ASN12637,ASN39309,0
ASN12637,ASN39318,0
ASN12637,ASN39386,0
ASN12637,ASN39537,0
ASN12637,ASN39591,0
ASN12637,ASN39637,0
ASN12637,ASN39647,0
ASN12637,ASN39651,0
ASN12637,ASN39704,0
ASN12637,ASN39729,0
ASN12637,ASN39737,0
ASN12637,ASN39792,0
ASN12637,ASN39832,0
ASN12637,ASN39912,0
ASN12637,ASN39923,0
ASN12637,ASN39995,0
ASN12637,ASN40627,0
ASN12637,ASN40999,0
ASN12637,ASN41059,0
ASN12637,ASN41090,0
ASN12637,ASN41095,0
ASN12637,ASN41313,0
ASN12637,ASN41393,0
ASN12637,ASN41497,0
ASN12637,ASN41552,0
ASN12637,ASN41690,0
ASN12637,ASN41692,0
ASN12637,ASN41887,0
ASN12637,ASN41913,0
ASN12637,ASN42093,0
ASN12637,ASN42158,0
ASN12637,ASN42184,0
ASN12637,ASN42463,0
ASN12637,ASN42541,0
ASN12637,ASN42707,0
ASN12637,ASN42708,0
ASN12637,ASN42794,0
ASN12637,ASN42909,0
ASN12637,ASN42927,0
ASN12637,ASN42949,0
ASN12637,ASN43061,0
ASN12637,ASN43142,0
ASN12637,ASN43190,0
ASN12637,ASN43293,0
ASN12637,ASN43350,0
ASN12637,ASN43366,0
ASN12637,ASN43376,0
ASN12637,ASN43404,0
ASN12637,ASN43437,0
ASN12637,ASN43531,0
ASN12637,ASN43821,0
ASN12637,ASN43942,0
ASN12637,ASN43996,0
ASN12637,ASN44020,0
ASN12637,ASN44034,0
ASN12637,ASN44053,0
ASN12637,ASN44066,0
ASN12637,ASN44141,0
ASN12637,ASN44160,0
ASN12637,ASN44431,0
ASN12637,ASN44444,0
ASN12637,ASN44513,0
ASN12637,ASN44608,0
ASN12637,ASN44654,0
ASN12637,ASN44735,0
ASN12637,ASN44788,0
ASN12637,ASN44814,0
ASN12637,ASN44981,0
ASN12637,ASN45204,0
ASN12637,ASN45474,0
ASN12637,ASN45629,0
ASN12637,ASN46235,0
ASN12637,ASN46489,0
ASN12637,ASN46786,0
ASN12637,ASN47143,0
ASN12637,ASN47172,0
ASN12637,ASN47195,0
ASN12637,ASN47217,0
ASN12637,ASN47329,0
ASN12637,ASN47344,0
ASN12637,ASN47408,0
ASN12637,ASN47463,0
ASN12637,ASN47531,0
ASN12637,ASN47541,0
ASN12637,ASN47622,0
ASN12637,ASN47748,0
ASN12637,ASN47764,0
ASN12637,ASN47836,0
ASN12637,ASN47869,0
ASN12637,ASN47872,0
ASN12637,ASN47927,0
ASN12637,ASN48056,0
ASN12637,ASN48072,0
ASN12637,ASN48166,0
ASN12637,ASN48173,0
ASN12637,ASN48200,0
ASN12637,ASN48500,0
ASN12637,ASN48519,0
ASN12637,ASN48522,0
ASN12637,ASN48526,0
ASN12637,ASN48634,0
ASN12637,ASN49218,0
ASN12637,ASN49285,0
ASN12637,ASN49289,0
ASN12637,ASN49360,0
ASN12637,ASN49367,0
ASN12637,ASN49373,0
ASN12637,ASN49375,0
ASN12637,ASN49405,0
ASN12637,ASN49463,0
ASN12637,ASN49524,0
ASN12637,ASN49544,0
ASN12637,ASN49597,0
ASN12637,ASN49605,0
ASN12637,ASN49653,0
ASN12637,ASN49685,0
ASN12637,ASN49820,0
ASN12637,ASN49981,0
ASN12637,ASN50010,0
ASN12637,ASN50056,0
ASN12637,ASN50072,0
ASN12637,ASN50245,0
ASN12637,ASN50266,0
ASN12637,ASN50295,0
ASN12637,ASN50300,0
ASN12637,ASN50304,0
ASN12637,ASN50316,0
ASN12637,ASN50324,0
ASN12637,ASN50384,0
ASN12637,ASN50473,0
ASN12637,ASN50606,0
ASN12637,ASN50618,0
ASN12637,ASN50673,0
ASN12637,ASN50737,0
ASN12637,ASN50763,0
ASN12637,ASN50809,0
ASN12637,ASN50923,0
ASN12637,ASN51028,0
ASN12637,ASN51050,0
ASN12637,ASN51088,0
ASN12637,ASN51185,0
ASN12637,ASN51313,0
ASN12637,ASN51468,0
ASN12637,ASN51555,0
ASN12637,ASN51569,0
ASN12637,ASN51580,0
ASN12637,ASN51646,0
ASN12637,ASN51752,0
ASN12637,ASN51852,0
ASN12637,ASN51906,0
ASN12637,ASN51942,0
ASN12637,ASN52041,0
ASN12637,ASN52233,0
ASN12637,ASN52320,0
ASN12637,ASN52438,0
ASN12637,ASN53563,0
ASN12637,ASN55195,0
ASN12637,ASN55799,0
ASN12637,ASN55819,0
ASN12637,ASN56550,0
ASN12637,ASN56583,0
ASN12637,ASN56665,0
ASN12637,ASN56704,0
ASN12637,ASN56911,0
ASN12637,ASN56953,0
ASN12637,ASN57023,0
ASN12637,ASN57043,0
ASN12637,ASN57119,0
ASN12637,ASN57463,0
ASN12637,ASN57724,0
ASN12637,ASN57866,0
ASN12637,ASN57928,0
ASN12637,ASN57976,0
ASN12637,ASN58073,0
ASN12637,ASN58138,0
ASN12637,ASN58209,0
ASN12637,ASN58291,0
ASN12637,ASN58453,0
ASN12637,ASN58511,0
ASN12637,ASN59318,0
ASN12637,ASN59560,0
ASN12637,ASN59605,0
ASN12637,ASN59699,0
ASN12637,ASN59865,0
ASN12637,ASN59940,0
ASN12637,ASN60475,0
ASN12637,ASN60501,0
ASN12637,ASN60718,0
ASN12637,ASN60764,0
ASN12637,ASN60772,0
ASN12637,ASN60798,0
ASN12637,ASN60822,0
ASN12637,ASN60868,0
ASN12637,ASN61124,0
ASN12637,ASN61266,0
ASN12637,ASN61319,0
ASN12637,ASN61349,0
ASN12637,ASN61955,0
ASN12637,ASN62041,0
ASN12637,ASN62267,0
ASN12637,ASN62325,0
ASN12637,ASN62713,0
ASN12637,ASN62715,0
ASN12637,ASN63399,0
ASN12637,ASN132876,0
ASN12637,ASN133229,0
ASN12637,ASN134390,0
ASN12637,ASN196640,0
ASN12637,ASN196752,0
ASN12637,ASN196761,0
ASN12637,ASN196844,0
ASN12637,ASN196983,0
ASN12637,ASN197000,0
ASN12637,ASN197038,0
ASN12637,ASN197075,0
ASN12637,ASN197156,0
ASN12637,ASN197219,0
ASN12637,ASN197426,0
ASN12637,ASN197440,0
ASN12637,ASN197541,0
ASN12637,ASN197589,0
ASN12637,ASN197595,0
ASN12637,ASN197692,0
ASN12637,ASN197981,0
ASN12637,ASN197985,0
ASN12637,ASN197999,0
ASN12637,ASN198435,0
ASN12637,ASN198721,0
ASN12637,ASN198792,0
ASN12637,ASN199026,0
ASN12637,ASN199139,0
ASN12637,ASN199181,0
ASN12637,ASN199275,0
ASN12637,ASN199332,0
ASN12637,ASN199524,0
ASN12637,ASN199547,0
ASN12637,ASN199636,0
ASN12637,ASN199660,0
ASN12637,ASN199670,0
ASN12637,ASN199837,0
ASN12637,ASN199939,0
ASN12637,ASN199941,0
ASN12637,ASN199947,0
ASN12637,ASN199981,0
ASN12637,ASN200020,0
ASN12637,ASN200023,0
ASN12637,ASN200043,0
ASN12637,ASN200052,0
ASN12637,ASN200108,0
ASN12637,ASN200130,0
ASN12637,ASN200794,0
ASN12637,ASN200904,0
ASN12637,ASN201058,0
ASN12637,ASN201214,0
ASN12637,ASN201518,0
ASN12637,ASN201722,0
ASN12637,ASN201791,0
ASN12637,ASN201877,0
ASN12637,ASN202018,0
ASN12637,ASN202023,0
ASN12637,ASN202032,0
ASN12637,ASN202112,0
ASN12637,ASN202189,0
ASN12637,ASN203923,0
ASN12637,ASN203959,0
